time,amps,volt
1586375096.093, 2.792789E-01, 1.127344E-01
1586375106.091, 2.757546E-01, 1.114154E-01
1586375116.144, 2.787885E-01, 1.125512E-01
1586375126.142, 2.813849E-01, 1.135038E-01
1586375136.092, 2.758603E-01, 1.114521E-01
1586375146.142, 2.784663E-01, 1.124413E-01
1586375156.142, 2.799376E-01, 1.130275E-01
1586375166.143, 2.766873E-01, 1.118002E-01
1586375176.144, 2.792693E-01, 1.128260E-01
1586375186.144, 2.915588E-01, 1.173874E-01
1586375196.142, 2.735380E-01, 1.106277E-01
1586375206.142, 2.813176E-01, 1.135588E-01
1586375216.142, 2.815964E-01, 1.136137E-01
1586375226.142, 2.799328E-01, 1.131558E-01
1586375236.142, 2.857795E-01, 1.202452E-01
1586375246.142, 2.800290E-01, 1.132840E-01
1586375256.092, 2.738217E-01, 1.107926E-01
1586375266.142, 2.795049E-01, 1.128077E-01
1586375276.142, 2.763892E-01, 1.116170E-01
1586375286.143, 2.741631E-01, 1.107743E-01
1586375296.142, 2.793655E-01, 1.127711E-01
1586375306.143, 2.790000E-01, 1.125879E-01
1586375316.142, 2.805819E-01, 1.132107E-01
1586375326.144, 2.820051E-01, 1.137236E-01
1586375336.142, 2.766056E-01, 1.117269E-01
1586375346.141, 2.789471E-01, 1.125695E-01
1586375356.144, 2.827648E-01, 1.139984E-01
1586375366.142, 2.743218E-01, 1.108476E-01
1586375376.142, 2.755478E-01, 1.111407E-01
1586375386.142, 2.796588E-01, 1.139068E-01
1586375396.144, 2.761248E-01, 1.124596E-01
1586375406.143, 2.795241E-01, 1.128810E-01
1586375416.142, 2.885009E-01, 1.161051E-01
1586375426.142, 2.742064E-01, 1.107376E-01
1586375436.142, 2.799136E-01, 1.128993E-01
1586375446.141, 2.885634E-01, 1.160868E-01
1586375456.143, 2.780913E-01, 1.121299E-01
1586375466.143, 2.794952E-01, 1.127344E-01
1586375476.144, 2.924147E-01, 1.183034E-01
